Id_Tabla,Levdireccion,Levdirnum,Levpropietario,Levtelefono,Lev_Sticker,Levnombreestablecimiento,DistanciaEnMetros,Match
465,82%,100%,82%,0%,0%,88%,3,1
466,67%,78%,69%,0%,0%,100%,14,1
467,97%,94%,47%,0%,0%,53%,20,1
468,94%,80%,50%,0%,0%,96%,35,1
469,93%,94%,44%,0%,0%,100%,26,1
470,100%,93%,44%,0%,0%,52%,1,1
471,87%,100%,43%,0%,0%,82%,10,1
472,100%,100%,53%,0%,0%,90%,,1
473,88%,93%,63%,0%,0%,50%,20,1
474,96%,100%,57%,0%,0%,96%,4,1
475,93%,93%,60%,0%,100%,50%,6,1
476,84%,89%,0%,0%,0%,100%,13,1
477,96%,93%,56%,0%,0%,0%,30,1
478,93%,93%,55%,0%,0%,50%,,1
479,83%,87%,39%,0%,0%,100%,32,1
480,75%,90%,52%,0%,100%,55%,9,1
481,89%,79%,44%,0%,0%,100%,28,1
482,87%,100%,46%,0%,0%,100%,6,1
483,87%,89%,44%,0%,0%,100%,4,1
484,96%,93%,54%,0%,0%,95%,10,1
485,94%,73%,55%,0%,0%,53%,13,1
486,100%,93%,54%,0%,0%,73%,19,1
487,93%,89%,53%,0%,0%,100%,3,1
488,97%,94%,49%,0%,0%,46%,16,1
489,87%,89%,54%,0%,0%,67%,,1
490,100%,100%,58%,0%,0%,100%,3,1
491,97%,94%,46%,0%,0%,67%,24,1
492,100%,100%,51%,0%,0%,36%,24,1
493,100%,100%,49%,0%,0%,52%,7,1
494,96%,94%,52%,0%,0%,45%,1,1
495,91%,83%,59%,0%,0%,80%,7,1
496,88%,80%,54%,0%,100%,77%,1,1
497,92%,87%,50%,0%,0%,57%,12,1
498,82%,82%,50%,0%,0%,100%,,1
499,95%,100%,61%,0%,0%,94%,,1
500,80%,82%,46%,0%,0%,100%,2,1
501,79%,80%,57%,0%,0%,63%,5,1
502,91%,77%,55%,0%,0%,100%,7,1
503,78%,81%,50%,0%,0%,85%,7,1
504,80%,77%,54%,0%,100%,76%,14,1
505,85%,100%,47%,0%,0%,54%,6,1
506,100%,93%,49%,0%,0%,76%,,1
507,93%,93%,47%,0%,0%,100%,,1
508,96%,93%,50%,0%,0%,48%,34,1
509,96%,94%,60%,0%,100%,100%,10,1
510,96%,100%,60%,100%,0%,50%,9,1
511,100%,100%,56%,0%,0%,0%,7,1
512,94%,93%,49%,0%,100%,100%,6,1
513,80%,82%,57%,0%,100%,100%,,1
514,100%,93%,47%,0%,100%,88%,,1
515,93%,93%,46%,0%,0%,59%,12,1
516,79%,82%,60%,0%,0%,36%,,1
517,83%,88%,48%,0%,0%,98%,40,1
518,69%,58%,50%,0%,0%,100%,35,1
519,100%,93%,55%,0%,0%,61%,35,1
520,93%,94%,50%,0%,0%,50%,2,1
521,100%,93%,56%,0%,0%,6%,,1
522,92%,100%,46%,0%,0%,0%,5,1
523,94%,93%,52%,0%,0%,60%,19,1
524,70%,67%,49%,0%,0%,100%,7,1
525,93%,93%,53%,0%,0%,55%,45,1
526,81%,82%,44%,0%,0%,86%,14,1
527,88%,93%,51%,100%,0%,24%,,1
528,84%,87%,53%,0%,0%,85%,5,1
529,88%,93%,57%,0%,0%,95%,,1
530,96%,93%,55%,0%,0%,100%,32,1
531,96%,93%,51%,0%,0%,80%,3,1
532,97%,94%,46%,0%,0%,0%,19,1
533,78%,100%,54%,0%,0%,48%,43,1
534,96%,100%,52%,100%,0%,59%,3,1
535,93%,93%,71%,0%,100%,5%,6,1
536,97%,94%,48%,0%,0%,52%,13,1
537,100%,100%,49%,0%,0%,98%,4,1
538,100%,100%,52%,0%,0%,53%,4,1
539,68%,69%,54%,0%,100%,96%,9,1
540,100%,93%,45%,0%,0%,100%,14,1
541,94%,94%,45%,0%,0%,44%,12,1
542,97%,94%,47%,0%,0%,91%,3,1
543,97%,93%,62%,0%,0%,36%,3,1
544,100%,100%,48%,0%,0%,100%,,1
545,100%,100%,41%,0%,0%,100%,31,1
546,82%,100%,50%,0%,0%,100%,15,1
547,100%,100%,61%,0%,0%,53%,8,1
548,97%,93%,64%,0%,100%,100%,19,1
549,96%,93%,45%,0%,0%,56%,9,1
550,97%,93%,63%,0%,0%,55%,,1
551,100%,94%,58%,0%,0%,74%,6,1
552,81%,85%,54%,0%,0%,100%,2,1
553,92%,100%,57%,0%,0%,67%,8,1
554,96%,100%,56%,100%,0%,39%,17,1
555,89%,94%,44%,0%,0%,43%,18,1
556,77%,94%,46%,100%,0%,100%,29,1
557,100%,100%,39%,0%,0%,50%,1,1
558,100%,93%,51%,0%,0%,94%,,1
559,93%,100%,55%,0%,0%,100%,42,1
560,100%,94%,62%,0%,0%,91%,4,1
561,87%,95%,45%,0%,0%,100%,42,1
562,100%,77%,49%,0%,0%,57%,,1
563,100%,100%,50%,0%,0%,62%,15,1
564,86%,82%,61%,0%,0%,100%,8,1
565,97%,94%,63%,0%,0%,67%,11,1
566,83%,100%,51%,0%,0%,50%,22,1
567,89%,87%,55%,0%,0%,100%,5,1
568,81%,82%,56%,0%,0%,100%,,1
569,95%,93%,48%,0%,0%,52%,13,1
570,78%,76%,47%,0%,0%,83%,3,1
571,100%,93%,48%,0%,100%,43%,6,1
572,81%,80%,53%,0%,0%,94%,1,1
573,95%,85%,41%,0%,0%,82%,4,1
574,58%,62%,57%,0%,0%,92%,6,1
575,100%,100%,45%,0%,0%,61%,27,1
